algorithm,time
qs1,0.010997772216796875
qs2,0.016000032424926758
qs3,0.018007993698120117
qs4,0.01550912857055664
qs5,0.013998746871948242
merge1,0.01399993896484375
partition_sort,0.008016824722290039
qs1,0.009983539581298828
qs2,0.015000104904174805
qs3,0.01600360870361328
qs4,0.015506267547607422
qs5,0.01402425765991211
merge1,0.01497507095336914
partition_sort,0.006999969482421875
qs1,0.009999990463256836
qs2,0.014999866485595703
qs3,0.01900196075439453
qs4,0.016000986099243164
qs5,0.01350545883178711
merge1,0.01600027084350586
partition_sort,0.00599980354309082
qs1,0.013000249862670898
qs2,0.0240018367767334
qs3,0.027009010314941406
qs4,0.01751232147216797
qs5,0.0169985294342041
merge1,0.02600693702697754
partition_sort,0.018999338150024414
qs1,0.015001058578491211
qs2,0.02253437042236328
qs3,0.01599597930908203
qs4,0.019022464752197266
qs5,0.014977455139160156
merge1,0.01699995994567871
partition_sort,0.007005214691162109
qs1,0.011577844619750977
qs2,0.01699972152709961
qs3,0.015980243682861328
qs4,0.01700282096862793
qs5,0.014015436172485352
merge1,0.015982627868652344
partition_sort,0.008005142211914062
qs1,0.01250910758972168
qs2,0.017017126083374023
qs3,0.016985654830932617
qs4,0.017998456954956055
qs5,0.019017457962036133
merge1,0.016025781631469727
partition_sort,0.007002353668212891
qs1,0.013541698455810547
qs2,0.01599717140197754
qs3,0.01700425148010254
qs4,0.016995668411254883
qs5,0.01600027084350586
merge1,0.016027212142944336
partition_sort,0.006979465484619141
qs1,0.010509967803955078
qs2,0.015999555587768555
qs3,0.015000343322753906
qs4,0.014999628067016602
qs5,0.01602029800415039
merge1,0.014982223510742188
partition_sort,0.007025241851806641
qs1,0.011552572250366211
qs2,0.01797962188720703
qs3,0.014999628067016602
qs4,0.014999866485595703
qs5,0.013999700546264648
merge1,0.015000343322753906
partition_sort,0.00800323486328125
qs1,0.010503768920898438
qs2,0.01600337028503418
qs3,0.017000198364257812
qs4,0.015003442764282227
qs5,0.015001058578491211
merge1,0.015996932983398438
partition_sort,0.008003711700439453
qs1,0.009997367858886719
qs2,0.015508174896240234
qs3,0.014999866485595703
qs4,0.01500082015991211
qs5,0.01299905776977539
merge1,0.015000104904174805
partition_sort,0.006999969482421875
qs1,0.011004447937011719
qs2,0.01805281639099121
qs3,0.01600170135498047
qs4,0.01701664924621582
qs5,0.013979911804199219
merge1,0.016018152236938477
partition_sort,0.008001327514648438
qs1,0.009984493255615234
qs2,0.015510797500610352
qs3,0.014998912811279297
qs4,0.014999151229858398
qs5,0.01400136947631836
merge1,0.014998674392700195
partition_sort,0.007000923156738281
qs1,0.011001348495483398
qs2,0.015002250671386719
qs3,0.015523910522460938
qs4,0.015999555587768555
qs5,0.013986587524414062
merge1,0.0169985294342041
partition_sort,0.006997823715209961
qs1,0.012001514434814453
qs2,0.018004894256591797
qs3,0.0170748233795166
qs4,0.014999628067016602
qs5,0.014998674392700195
merge1,0.015999794006347656
partition_sort,0.007001638412475586
qs1,0.012000322341918945
qs2,0.018007993698120117
qs3,0.02850937843322754
qs4,0.034003257751464844
qs5,0.028004169464111328
merge1,0.031516313552856445
partition_sort,0.02099919319152832
qs1,0.026001930236816406
qs2,0.03751564025878906
qs3,0.03300023078918457
qs4,0.040999650955200195
qs5,0.023004531860351562
merge1,0.025510549545288086
partition_sort,0.012496232986450195
qs1,0.021448373794555664
qs2,0.028328895568847656
qs3,0.027988433837890625
qs4,0.024119138717651367
qs5,0.022328853607177734
merge1,0.02449321746826172
partition_sort,0.011026144027709961
qs1,0.01704573631286621
qs2,0.022997140884399414
qs3,0.02200031280517578
qs4,0.023032188415527344
qs5,0.020546913146972656
merge1,0.021982669830322266
partition_sort,0.010018110275268555
qs1,0.014982223510742188
qs2,0.021018028259277344
qs3,0.023008346557617188
qs4,0.02150273323059082
qs5,0.019001245498657227
merge1,0.02098226547241211
partition_sort,0.009000301361083984
qs1,0.015001296997070312
qs2,0.021548032760620117
qs3,0.020014286041259766
qs4,0.02101922035217285
qs5,0.01797938346862793
merge1,0.020999670028686523
partition_sort,0.009004831314086914
qs1,0.014535188674926758
qs2,0.018995046615600586
qs3,0.019979238510131836
qs4,0.02000117301940918
qs5,0.018998384475708008
merge1,0.019594907760620117
partition_sort,0.009021282196044922
qs1,0.012983083724975586
qs2,0.021000385284423828
qs3,0.019999980926513672
qs4,0.019019603729248047
qs5,0.018516063690185547
merge1,0.02000117301940918
partition_sort,0.009015321731567383
qs1,0.014000177383422852
qs2,0.019983530044555664
qs3,0.02100396156311035
qs4,0.01755833625793457
qs5,0.016983509063720703
merge1,0.01900005340576172
partition_sort,0.008016824722290039
qs1,0.01298666000366211
qs2,0.017999649047851562
qs3,0.019004106521606445
qs4,0.019507408142089844
qs5,0.01699995994567871
merge1,0.01901721954345703
partition_sort,0.009982824325561523
qs1,0.013016700744628906
qs2,0.019989728927612305
qs3,0.019509553909301758
qs4,0.018999576568603516
qs5,0.01699972152709961
merge1,0.01902008056640625
partition_sort,0.00898122787475586
qs1,0.014003515243530273
qs2,0.018507957458496094
qs3,0.01901984214782715
qs4,0.01997995376586914
qs5,0.017000913619995117
merge1,0.01800251007080078
partition_sort,0.009022235870361328
qs1,0.013569116592407227
qs2,0.017968416213989258
qs3,0.018017053604125977
qs4,0.019999980926513672
qs5,0.015982389450073242
merge1,0.019510746002197266
partition_sort,0.009001493453979492
qs1,0.013998746871948242
qs2,0.019028663635253906
qs3,0.02197122573852539
qs4,0.020040035247802734
qs5,0.018530607223510742
merge1,0.01999974250793457
partition_sort,0.009000778198242188
qs1,0.01401662826538086
qs2,0.020982742309570312
qs3,0.020004987716674805
qs4,0.02151799201965332
qs5,0.019983768463134766
merge1,0.020998001098632812
partition_sort,0.009001016616821289
qs1,0.013999462127685547
qs2,0.020046472549438477
qs3,0.021509170532226562
qs4,0.01898193359375
qs5,0.01701974868774414
merge1,0.0189969539642334
partition_sort,0.008983373641967773
qs1,0.014044761657714844
qs2,0.018568992614746094
qs3,0.019072771072387695
qs4,0.01990962028503418
qs5,0.017998933792114258
merge1,0.01804971694946289
